mcid,program,peer_group
MCID3111303027,Civil,starters
MCID3111303329,Electrical,starters
MCID3111303649,Electrical,starters
MCID3111303666,Mechanical,starters
MCID3111303700,Civil,starters
MCID3111303745,Mechanical,starters
MCID3111304182,Mechanical,starters
MCID3111304185,Industrial,starters
MCID3111304200,Mechanical,starters
MCID3111304205,Electrical,starters
MCID3111304213,Industrial,starters
MCID3111304526,Mechanical,starters
MCID3111304557,Electrical,starters
MCID3111304574,Mechanical,starters
MCID3111304594,Electrical,starters
MCID3111304977,Civil,starters
MCID3111305002,Civil,starters
MCID3111305028,Mechanical,starters
MCID3111305169,Electrical,starters
MCID3111305662,Civil,starters
MCID3111306160,Mechanical,starters
MCID3111306188,Industrial,starters
MCID3111306286,Mechanical,starters
MCID3111306385,Mechanical,starters
MCID3111306554,Industrial,starters
MCID3111306729,Mechanical,starters
MCID3111306736,Mechanical,starters
MCID3111306945,Civil,starters
MCID3111306952,Mechanical,starters
MCID3111307190,Mechanical,starters
MCID3111307192,Mechanical,starters
MCID3111307286,Mechanical,starters
MCID3111307322,Civil,starters
MCID3111311076,Mechanical,starters
MCID3111311173,Mechanical,starters
MCID3111311561,Mechanical,starters
MCID3111311663,Mechanical,starters
MCID3111311763,Civil,starters
MCID3111312389,Civil,starters
MCID3111312400,Mechanical,starters
MCID3111312430,Mechanical,starters
MCID3111312564,Mechanical,starters
MCID3111312690,Civil,starters
MCID3111312741,Civil,starters
MCID3111312806,Civil,starters
MCID3111312851,Civil,starters
MCID3111312852,Civil,starters
MCID3111312879,Mechanical,starters
MCID3111312929,Electrical,starters
MCID3111312939,Civil,starters
MCID3111312965,Civil,starters
MCID3111313075,Electrical,starters
MCID3111313200,Civil,starters
MCID3111313317,Electrical,starters
MCID3111313453,Electrical,starters
MCID3111313671,Mechanical,starters
MCID3111313672,Civil,starters
MCID3111313774,Electrical,starters
MCID3111313795,Electrical,starters
MCID3111313845,Mechanical,starters
MCID3111314372,Civil,starters
MCID3111314392,Electrical,starters
MCID3111314411,Civil,starters
MCID3111314503,Mechanical,starters
MCID3111314902,Electrical,starters
MCID3111314929,Electrical,starters
